"Name","AppPathName","NetworkProfile","IPProtocol","DSCPValue"
"Download-Aria2","aria2.exe","All","BOTH","8"
"Download-Aria2c","aria2c.exe","All","BOTH","8"
"Download-LM Studio","lm studio.exe","All","BOTH","8"
"Download-PersepolisDM","Persepolis Download Manager.exe","All","BOTH","8"
"Download-PersepolisDM2","PersepolisBI.exe","All","BOTH","8"
"Download-PortableAPPSupdater","portableappsupdater.exe","All","BOTH","8"
"Games-NyanHeroes","nyanheroes-win64-shipping.exe","All","BOTH","46"
"Games-Once_human","once_human.exe","All","BOTH","46"
"Games-Overwatch","Overwatch.exe","All","BOTH","46"
"Games-OverwatchL","Overwatch Launcher.exe","All","BOTH","46"
"Games-QuakeChampions","QuakeChampions.exe","All","BOTH","46"
"Games-Rust","Rust.exe","All","BOTH","46"
"Games-RustClient","RustClient.exe","All","BOTH","46"
"Games-TheFinals","Discovery.exe","All","BOTH","46"
"Market-Battle.net","Battle.net.exe","All","BOTH","8"
"Market-Battle.net Agent","Agent.exe","All","BOTH","8"
"Market-Battle.net Launcher","Battle.net Launcher.exe","All","BOTH","8"
"Market-EA Desktop DownloadSVC","EABackgroundService.exe","All","BOTH","8"
"Market-EA Desktop Market","EADesktop.exe","All","BOTH","8"
"Market-EpicGamesLauncher","EpicGamesLauncher.exe","All","BOTH","8"
"Market-GenshinEpicLauncher","launcher_epic.exe","All","BOTH","8"
"Market-GenshinLauncher","Launcher.exe","All","BOTH","8"
"Market-Steam","Steam.exe","All","BOTH","8"
"Market-Steamerrorreporter","steamerrorreporter.exe","All","BOTH","8"
"Market-Steamerrorreporter64","steamerrorreporter64.exe","All","BOTH","8"
"Market-SteamwebHelper","steamwebhelper.exe","All","BOTH","8"
"Market-UbisoftGameLauncher","UbisoftGameLauncher.exe","All","BOTH","8"
"Market-UbisoftGameLauncher64","UbisoftGameLauncher64.exe","All","BOTH","8"
"Market-Upc","upc.exe","All","BOTH","8"
"Market-UplayWebCore","UplayWebCore.exe","All","BOTH","8"
"Market-VKPlay","gamecenter.exe","All","BOTH","8"
"OBS","obs64.exe","All","BOTH","34"
"Torrent-qbittorrent","qbittorrent.exe","All","BOTH","8"
"WinServ-googleupdate","googleupdate.exe","All","BOTH","8"
"WinServ-microsoftedgeupdate","microsoftedgeupdate.exe","All","BOTH","8"
"WinServ-mpcmdrun","mpcmdrun.exe","All","BOTH","8"
"WinServ-mpdefendercoreservice","mpdefendercoreservice.exe","All","BOTH","8"
"WinServ-msmpeng","msmpeng.exe","All","BOTH","8"
"WinServ-StartMenuExperienceHost","StartMenuExperienceHost.exe","All","BOTH","8"
"WinServ-SystemSettings","systemsettings.exe","All","BOTH","8"
"WinServ-WinStore","WinStore.App.exe","All","BOTH","8"
"WinServ-Xbox","XboxPcApp.exe","All","BOTH","8"
